iter	Logloss
298	0.2531988159
299	0.253176604
300	0.2531401392
301	0.2531133618
302	0.2530812061
303	0.2530487842
304	0.2530277588
305	0.253010481
306	0.2529732056
307	0.2529406348
308	0.252899502
309	0.2528735034
310	0.2528522729
311	0.2528271021
312	0.2528003003
313	0.2527755542
314	0.2527555444
315	0.2527266113
316	0.2526973096
317	0.2526675122
318	0.2526403467
319	0.2526169409
320	0.2525975195
321	0.2525589502
322	0.2525349634
323	0.2525149976
324	0.2524913794
325	0.2524716699
326	0.2524576294
327	0.2524313306
328	0.2524117651
329	0.2523937305
330	0.252375686
331	0.2523598828
332	0.252326958
333	0.2522986279
334	0.2522669238
335	0.2522428101
336	0.2522170117
337	0.2521932397
338	0.2521627856
339	0.2521408276
340	0.2521170508
341	0.2520795679
342	0.2520489844
343	0.2520321704
344	0.2519964526
345	0.2519627124
346	0.2519381934
347	0.2519149072
348	0.2518823779
349	0.2518595386
350	0.2518376587
351	0.2518131152
352	0.2517832471
353	0.2517495947
354	0.251732854
355	0.251706665
356	0.2516870483
357	0.2516537695
358	0.2516353955
359	0.2516013354
360	0.2515697876
361	0.2515351465
362	0.2515160596
363	0.2514878979
364	0.2514672266
365	0.2514397754
366	0.2514135962
367	0.251394353
368	0.2513648755
369	0.2513436353
370	0.2513233691
371	0.2512919775
372	0.2512702026
373	0.2512421338
374	0.251216626
375	0.2511891406
376	0.2511620166
377	0.2511352222
378	0.2511093433
379	0.2510838135
380	0.2510646948
381	0.2510325537
382	0.2510070703
383	0.2509760889
384	0.2509510718
385	0.250915293
386	0.250887854
387	0.2508548047
388	0.2508351025
389	0.2508053223
390	0.2507774243
391	0.250760813
392	0.2507466504
393	0.2507162769
394	0.2506916016
395	0.2506602783
396	0.2506376172
397	0.2506185181
398	0.25060052
399	0.2505789575
400	0.2505421582
401	0.250524248
402	0.2505005884
403	0.2504735913
404	0.2504487573
405	0.2504232349
406	0.2503994458
407	0.2503690967
408	0.2503527515
409	0.2503229297
410	0.2502989771
411	0.2502653174
412	0.2502484961
413	0.2502232642
414	0.2501949292
415	0.2501725659
416	0.2501373438
417	0.2501053198
418	0.2500762256
419	0.250061814
420	0.2500440454
421	0.2500238062
422	0.2500088184
423	0.2499896362
424	0.2499645264
425	0.2499368433
426	0.2499170532
427	0.2498986426
428	0.2498807397
429	0.2498628442
430	0.2498374731
431	0.2498036914
432	0.2497794971
433	0.2497578979
434	0.2497339429
435	0.2496966284
436	0.2496698486
437	0.2496539575
438	0.2496335571
439	0.2496189062
440	0.2495994507
441	0.2495844238
442	0.249545769
443	0.2495313867
444	0.2495029712
445	0.2494903979
446	0.2494652368
447	0.2494325708
448	0.2494073364
449	0.2493868604
450	0.2493639355
451	0.2493355542
452	0.2493209595
453	0.2492917651
454	0.249263374
455	0.2492462769
456	0.2492146338
457	0.2491841382
458	0.2491592187
459	0.2491298267
460	0.2491027417
461	0.2490823389
462	0.249062168
463	0.249049292
464	0.2490313086
465	0.2490076855
466	0.2489760278
467	0.248959707
468	0.2489385107
469	0.2489233862
470	0.2488936987
471	0.2488774243
472	0.2488503564
473	0.2488206982
474	0.2488059766
475	0.2487709985
476	0.248752373
477	0.248739751
478	0.2487219165
479	0.2486980151
480	0.2486662915
481	0.248648147
482	0.2486307764
483	0.2486097388
484	0.2485823828
485	0.248571377
486	0.2485548022
487	0.2485284058
488	0.2484959912
489	0.2484772021
490	0.2484549927
491	0.2484335474
492	0.248413645
493	0.248385459
494	0.248363772
495	0.2483510693
496	0.2483275757
497	0.2483127783
498	0.248293313
499	0.2482598242
500	0.2482321484
501	0.2482033081
502	0.2481661182
503	0.24813979
504	0.2481107593
505	0.2480891284
506	0.2480694312
507	0.2480360864
508	0.2480139941
509	0.2479923853
510	0.2479660156
511	0.24793979
512	0.2479211182
513	0.2479011548
514	0.247878269
515	0.2478516699
516	0.2478348071
517	0.2478204395
518	0.2478071533
519	0.2477905859
520	0.2477590601
521	0.2477435156
522	0.2477180322
523	0.2476976807
524	0.2476825439
525	0.2476675098
526	0.2476509985
527	0.2476293872
528	0.247614519
529	0.2475965405
530	0.2475785669
531	0.2475588232
532	0.2475391235
533	0.2475199487
534	0.2474969067
535	0.2474702686
536	0.2474556421
537	0.2474295874
538	0.2474024023
539	0.2473812231
540	0.2473568066
541	0.2473422412
542	0.2473143213
543	0.2472852319
544	0.2472640332
545	0.2472397534
546	0.2472143237
547	0.2471851953
548	0.2471610107
549	0.2471273145
550	0.2471012207
551	0.2470871216
552	0.2470657446
553	0.2470492969
554	0.247031377
555	0.2470088037
556	0.2469822192
557	0.2469619434
558	0.2469403442
559	0.2469223462
560	0.2468883813
561	0.2468626367
562	0.2468401245
563	0.2468238696
564	0.2467996362
565	0.2467773071
566	0.2467541919
567	0.2467366089
568	0.246716145
569	0.2466877148
570	0.2466683569
571	0.2466481714
572	0.246626731
573	0.2466031958
574	0.2465866284
575	0.24656698
576	0.2465465942
577	0.2465201221
578	0.2464939038
579	0.2464649463
580	0.2464487012
581	0.2464208081
582	0.2463939185
583	0.2463652075
584	0.2463415479
585	0.2463242432
586	0.2462998706
587	0.2462823682
588	0.2462644019
589	0.2462440112
590	0.2462314185
591	0.2462141968
592	0.2461849854
593	0.246158916
594	0.2461339429
595	0.2461007446
596	0.2460784546
597	0.2460411597
598	0.2460230054
599	0.2460048486
600	0.2459879395
601	0.2459685571
602	0.2459491675
603	0.2459332788
604	0.2459094751
605	0.2458800781
606	0.2458657837
607	0.2458471704
608	0.2458350513
609	0.2458208813
610	0.24580302
611	0.2457825586
612	0.2457567773
613	0.2457307593
614	0.2457134424
615	0.2456977539
616	0.2456657397
617	0.2456385303
618	0.2456230957
619	0.2456043018
620	0.2455882031
621	0.2455672119
622	0.2455541187
